error: Oct-08-2024 15:23:12: 	Error in connecting database:  Unknown database 'login'
error: Oct-08-2024 15:30:49: 	Route Not Found
error: Oct-08-2024 15:31:23: 	Route Not Found
error: Oct-08-2024 15:31:36: 	Route Not Found
error: Oct-08-2024 15:33:37: 	Route Not Found
error: Oct-08-2024 15:33:38: 	Route Not Found
error: Oct-08-2024 15:34:00: 	Route Not Found
error: Oct-08-2024 15:35:08: 	Route Not Found
error: Oct-08-2024 15:35:13: 	Route Not Found
error: Oct-08-2024 15:35:23: 	Route Not Found
error: Oct-08-2024 15:37:38: 	Route Not Found
error: Oct-08-2024 15:37:49: 	Route Not Found
error: Oct-08-2024 15:38:21: 	Route Not Found
error: Oct-08-2024 15:38:25: 	Route Not Found
error: Oct-08-2024 15:38:28: 	Route Not Found
error: Oct-08-2024 15:42:31: 	Email is required
error: Oct-08-2024 15:42:31: 	Email is required
error: Oct-08-2024 15:42:32: 	Email is required
error: Oct-08-2024 15:42:32: 	Email is required
error: Oct-08-2024 15:44:50: 	Route Not Found
error: Oct-08-2024 15:44:56: 	Route Not Found
error: Oct-08-2024 15:45:02: 	Email is required
error: Oct-08-2024 15:45:02: 	Email is required
error: Oct-08-2024 19:17:59: 	Error in register service Error: User already exists.
error: Oct-08-2024 19:17:59: 	User already exists.
error: Oct-08-2024 19:19:52: 	"name" is not allowed
error: Oct-08-2024 19:19:52: 	"name" is not allowed
error: Oct-08-2024 19:20:35: 	"phone" is not allowed
error: Oct-08-2024 19:20:35: 	"phone" is not allowed
error: Oct-08-2024 19:20:41: 	Error in register service Error: User role not found.
error: Oct-08-2024 19:20:41: 	User role not found.
error: Oct-08-2024 19:21:33: 	"roleId" is not allowed
error: Oct-08-2024 19:21:33: 	"roleId" is not allowed
error: Oct-08-2024 19:21:38: 	"role" is not allowed
error: Oct-08-2024 19:21:38: 	"role" is not allowed
error: Oct-08-2024 19:23:14: 	"roleId" is not allowed
error: Oct-08-2024 19:23:14: 	"roleId" is not allowed
error: Oct-08-2024 19:23:21: 	"roleId" is not allowed
error: Oct-08-2024 19:23:21: 	"roleId" is not allowed
error: Oct-08-2024 19:24:39: 	"roleId" is not allowed
error: Oct-08-2024 19:24:39: 	"roleId" is not allowed
error: Oct-08-2024 19:24:47: 	Error in register service: Error: User role not found.
error: Oct-08-2024 19:24:47: 	User role not found.
error: Oct-08-2024 19:25:15: 	"userRole" is not allowed
error: Oct-08-2024 19:25:15: 	"userRole" is not allowed
error: Oct-08-2024 19:27:22: 	"name" is not allowed
error: Oct-08-2024 19:27:22: 	"name" is not allowed
error: Oct-08-2024 19:27:26: 	"name" is not allowed
error: Oct-08-2024 19:27:26: 	"name" is not allowed
error: Oct-08-2024 19:27:31: 	"phone" is not allowed
error: Oct-08-2024 19:27:31: 	"phone" is not allowed
error: Oct-08-2024 19:27:36: 	Error in register service: Error: User role not found.
error: Oct-08-2024 19:27:36: 	User role not found.
error: Oct-08-2024 19:31:53: 	Error in registration service SequelizeValidationError: notNull Violation: User.roleId cannot be null
error: Oct-08-2024 19:31:53: 	notNull Violation: User.roleId cannot be null
error: Oct-08-2024 19:32:26: 	"roleId" is not allowed
error: Oct-08-2024 19:32:33: 	"roleId" is not allowed
